,name, product_id, amount, price
0,4dbd4b178e8c17b8fd676d54bf092017d66296756e19329b4614e4d90c28ddaa,23,1,36.0
1,4dbd4b178e8c17b8fd676d54bf092017d66296756e19329b4614e4d90c28ddaa,45,3,29.5
2,4dbd4b178e8c17b8fd676d54bf092017d66296756e19329b4614e4d90c28ddaa,36,2,50.3
3,bdd8b3f4b2ae078ee1a6fff719542515ad94010dd0a069e65fe43bce0d19c0e2,2,6,10.8
4,bdd8b3f4b2ae078ee1a6fff719542515ad94010dd0a069e65fe43bce0d19c0e2,45,6,59.0
5,6c7fcb13eca143fdb952c07263e9325781c3cd9bc27391161e393fa212cc9489,36,1,25.15
6,4dbd4b178e8c17b8fd676d54bf092017d66296756e19329b4614e4d90c28ddaa,15,7,30.0
7,4dbd4b178e8c17b8fd676d54bf092017d66296756e19329b4614e4d90c28ddaa,4,9,27.99
8,6c7fcb13eca143fdb952c07263e9325781c3cd9bc27391161e393fa212cc9489,36,2,50.3
9,6c7fcb13eca143fdb952c07263e9325781c3cd9bc27391161e393fa212cc9489,15,14,60.0
10,6c7fcb13eca143fdb952c07263e9325781c3cd9bc27391161e393fa212cc9489,2,3,5.4
11,3a8729c2a28a9889d967d197fe11dcbd25ea14de91fc3b6c08d78897c8302b72,12,4,95.0
12,bdd8b3f4b2ae078ee1a6fff719542515ad94010dd0a069e65fe43bce0d19c0e2,2,6,10.8
13,6c7fcb13eca143fdb952c07263e9325781c3cd9bc27391161e393fa212cc9489,36,3,75.45
14,3a8729c2a28a9889d967d197fe11dcbd25ea14de91fc3b6c08d78897c8302b72,4,3,9.33
15,3a8729c2a28a9889d967d197fe11dcbd25ea14de91fc3b6c08d78897c8302b72,12,8,190.0
16,3a8729c2a28a9889d967d197fe11dcbd25ea14de91fc3b6c08d78897c8302b72,2,3,5.4
17,bdd8b3f4b2ae078ee1a6fff719542515ad94010dd0a069e65fe43bce0d19c0e2,2,6,10.8
18,bdd8b3f4b2ae078ee1a6fff719542515ad94010dd0a069e65fe43bce0d19c0e2,15,7,30.0
19,4dbd4b178e8c17b8fd676d54bf092017d66296756e19329b4614e4d90c28ddaa,23,1,36.0
